DiseaseID	DrugID
EFO_0000319	CHEMBL189
EFO_0000319	CHEMBL1684
EFO_0000319	CHEMBL1201319
EFO_0000319	CHEMBL317094
EFO_0000319	CHEMBL1751
EFO_0000319	CHEMBL1168
EFO_0000319	CHEMBL597
EFO_0000319	CHEMBL2220442
EFO_0000319	CHEMBL35
EFO_0000319	CHEMBL517199
EFO_0000319	CHEMBL1581
EFO_0000319	CHEMBL1072
EFO_0000319	CHEMBL600325
EFO_0000319	CHEMBL1484
EFO_0000319	CHEMBL4066936
EFO_0000319	CHEMBL1513
EFO_0000319	CHEMBL1560089
EFO_0000319	CHEMBL1201753
EFO_0000319	CHEMBL349803
EFO_0000319	CHEMBL434200
EFO_0000319	CHEMBL672
EFO_0000319	CHEMBL1014
EFO_0000319	CHEMBL1237
EFO_0000319	CHEMBL1480987
EFO_0000319	CHEMBL1755
EFO_0000319	CHEMBL460291
EFO_0000319	CHEMBL1437
EFO_0000319	CHEMBL408403
EFO_0000319	CHEMBL1201212
EFO_0000319	CHEMBL1697843
EFO_0000319	CHEMBL13
EFO_0000319	CHEMBL191
EFO_0000319	CHEMBL475534
EFO_0000319	CHEMBL1726
EFO_0000319	CHEMBL1201251
EFO_0000319	CHEMBL524
EFO_0000319	CHEMBL404849
EFO_0000319	CHEMBL471737
EFO_0000319	CHEMBL1560
EFO_0000319	CHEMBL839
EFO_0000319	CHEMBL1201668
EFO_0000319	CHEMBL3989695
EFO_0000319	CHEMBL1373254
EFO_0000319	CHEMBL1200711
EFO_0000319	CHEMBL1165342
EFO_0000319	CHEMBL86882
EFO_0000319	CHEMBL645
EFO_0000319	CHEMBL1874750
EFO_0000319	CHEMBL429
EFO_0000319	CHEMBL193
EFO_0000319	CHEMBL2109540
EFO_0000319	CHEMBL23
EFO_0000319	CHEMBL1055
EFO_0000319	CHEMBL2311030
EFO_0000319	CHEMBL6622
EFO_0000319	CHEMBL284906
EFO_0000319	CHEMBL2105131
EFO_0000319	CHEMBL838
EFO_0000319	CHEMBL1404
EFO_0000319	CHEMBL59
EFO_0000319	CHEMBL457
EFO_0000319	CHEMBL753
EFO_0000319	CHEMBL521
EFO_0000319	CHEMBL690
EFO_0000319	CHEMBL730
EFO_0000319	CHEMBL264374
EFO_0000319	CHEMBL649
EFO_0000319	CHEMBL477
EFO_0000319	CHEMBL466659
EFO_0000326	CHEMBL513
EFO_0000335	CHEMBL2108738
EFO_0000335	CHEMBL1200485
EFO_0000335	CHEMBL1201583
EFO_0000335	CHEMBL1336
EFO_0000335	CHEMBL1201733
EFO_0000335	CHEMBL477772
EFO_0000339	CHEMBL1171837
EFO_0000339	CHEMBL2105708
EFO_0000339	CHEMBL820
EFO_0000339	CHEMBL1201740
EFO_0000339	CHEMBL1421
EFO_0000339	CHEMBL288441
EFO_0000339	CHEMBL941
EFO_0000339	CHEMBL1642
EFO_0000339	CHEMBL467
EFO_0000339	CHEMBL255863
EFO_0000341	CHEMBL605846
EFO_0000341	CHEMBL3989798
EFO_0000341	CHEMBL714
EFO_0000341	CHEMBL1789842
EFO_0000341	CHEMBL1473
EFO_0000341	CHEMBL3833319
EFO_0000341	CHEMBL1951071
EFO_0000341	CHEMBL1194325
EFO_0000341	CHEMBL2134724
EFO_0000341	CHEMBL1621597
EFO_0000341	CHEMBL1082607
EFO_0000341	CHEMBL1198857
EFO_0000341	CHEMBL1263
EFO_0000341	CHEMBL1363
EFO_0000341	CHEMBL1201231
EFO_0000341	CHEMBL2105743
EFO_0000341	CHEMBL3707243
EFO_0000341	CHEMBL3545181
EFO_0000341	CHEMBL523299
EFO_0000341	CHEMBL1084172
EFO_0000341	CHEMBL551466
EFO_0000341	CHEMBL1095777
EFO_0000341	CHEMBL1201014
EFO_0000341	CHEMBL1370
EFO_0000341	CHEMBL1201335
EFO_0000341	CHEMBL1676
EFO_0000341	CHEMBL529
EFO_0000341	CHEMBL1441059
EFO_0000341	CHEMBL1256786
EFO_0000341	CHEMBL193240
EFO_0000341	CHEMBL1187833
EFO_0000341	CHEMBL1900528
EFO_0000349	CHEMBL477772
EFO_0000349	CHEMBL1200485
EFO_0000349	CHEMBL2103868
EFO_0000349	CHEMBL1567
EFO_0000349	CHEMBL1908360
EFO_0000349	CHEMBL2108738
EFO_0000349	CHEMBL4585668
EFO_0000349	CHEMBL2105717
EFO_0000349	CHEMBL1201182
EFO_0000349	CHEMBL1201733
EFO_0000349	CHEMBL1336
EFO_0000349	CHEMBL535
EFO_0000349	CHEMBL1201583
EFO_0000349	CHEMBL1289926
EFO_0000365	CHEMBL1908361
EFO_0000365	CHEMBL1129
EFO_0000365	CHEMBL1201827
EFO_0000365	CHEMBL1908841
EFO_0000365	CHEMBL1742982
