DrugName	CID
(10S,11S)-13-[(2S)-1-hydroxypropan-2-yl]-11,16-dimethyl-10-[[methyl(pyridin-3-ylmethyl)amino]methyl]-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-14-one	56835322
(10S,11S)-13-[(2S)-1-hydroxypropan-2-yl]-11,16-dimethyl-10-[[methyl(pyridin-4-ylmethyl)amino]methyl]-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-14-one	56835313
(10S,11S)-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-10-(methylaminomethyl)-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637761
(10S,11S)-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-10-[[methyl(pyridin-3-ylmethyl)amino]methyl]-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637785
(10S,11S)-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-10-[[methyl(pyridin-4-ylmethyl)amino]methyl]-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54638009
(10S,13R)-17-ethylidene-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15-decahydrocyclopenta[a]phenanthrene-3,16-dione	139032010
(10S,15R)-13-butyl-10-(4-methoxyphenyl)-8,11,13-triazatetracyclo[7.7.0.02,7.011,15]hexadeca-1(9),2,4,6-tetraene-12,14-dione	11003969
(10aS)-9-(hydroxymethyl)-6,6-dimethyl-3-(2-methyloctan-2-yl)-6a,7,10,10a-tetrahydrobenzo[c][1]benzopyran-1-ol	9886498
(11E,13S)-13-hydroxyoctadeca-9,11-dienoic acid	134689018
(11R)-11-benzyl-3-oxa-9,14,15,16-tetrazatricyclo[12.2.1.05,9]heptadeca-1(17),15-dien-10-one	54649870
(11R)-3-[(4-chlorophenyl)methyl]-11-phenyl-1-oxa-3,10-diazacyclododec-5-ene-2,9-dione	139032436
(11S)-11-benzyl-3-oxa-9,14,15,16-tetrazatricyclo[12.2.1.05,9]heptadeca-1(17),15-dien-10-one	54649871
(11aS)-2-(4-methoxybenzyl)-5,5-dimethyl-5,6,11,11a-tetrahydro-1H-imidazo[1',5':1,6]pyrido[3,4-b]indole-1,3(2H)-dione	1776583
(11beta)-Spartein-2-one	6708718
(12R,13R,16R,8S)-13-methoxy-6,11-dimethyl-5,10-dioxo-8-phenyl-13,14,15,16-tetrahydro-12H-3-oxa-6,11-diaza-1(2,6)-pyrana-4(1,2)-benzenacyclotridecaphane-44-carbonitrile	54649776
(12R,15S,16R,8R)-15-methoxy-7,8,10-trimethyl-6,9-dioxo-13,14,15,16-tetrahydro-12H-4-oxa-7,10-diaza-1(2,6)-pyrana-5(1,2)-benzenacycloundecaphane-56-carbonitrile	54649587
(12S,13R,16R,8S)-13-methoxy-6,8,10-trimethyl-5,9-dioxo-13,14,15,16-tetrahydro-12H-3-oxa-6,10-diaza-1(2,6)-pyrana-4(1,2)-benzenacyclododecaphane-44-carbonitrile	54649714
(12S,13R,16R,8S)-13-methoxy-6,8,10-trimethyl-5,9-dioxo-13,14,15,16-tetrahydro-12H-3-oxa-6,10-diaza-1(2,6)-pyrana-4(1,2)-benzenacyclododecaphane-46-carbonitrile	54649739
(13S)-3-hydroxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-one	6710658
