DrugID	CID	
CHEMBL750	11967800
CHEMBL109	3121
CHEMBL433	16760703
CHEMBL861	4060
CHEMBL328560	5356
CHEMBL1214124	9924495
CHEMBL58323	219078
CHEMBL452	2802
CHEMBL797	6839
CHEMBL190461	644019
CHEMBL87493	3337
CHEMBL315985	9881504
CHEMBL64195	10391
CHEMBL697	6476
CHEMBL220492	5284627
CHEMBL40	4763
CHEMBL16	1775
CHEMBL607400	9837243
CHEMBL20	1986
CHEMBL1628502	9883933
CHEMBL2107062	72060
CHEMBL45029	8271
CHEMBL3989949	11962412
CHEMBL918	4753
CHEMBL1201336	56339
CHEMBL12	3016
CHEMBL940	3446
CHEMBL1068	34312
CHEMBL3833301	9977518
CHEMBL41355	121892
CHEMBL1201754	129228
CHEMBL655	4192
CHEMBL87992	179344
CHEMBL1286	5284583
CHEMBL695	5576
CHEMBL1095	3292
CHEMBL1059	5486971
CHEMBL1027	60648
CHEMBL89598	5665
CHEMBL1100	8280
CHEMBL741	3878
CHEMBL450	4099
CHEMBL2105613	23663956
CHEMBL760	135409400
CHEMBL1200759	135413494
CHEMBL679	5816
CHEMBL1291	31477
CHEMBL1201341	10548
CHEMBL19	4100
CHEMBL134	2803
CHEMBL765	3518
CHEMBL1201229	5966
CHEMBL94	5983
CHEMBL1201216	3033538
CHEMBL20	1986
CHEMBL220491	68844
CHEMBL1200814	13290219
CHEMBL1201222	11597698
CHEMBL17	3038
CHEMBL1963683	9868491
CHEMBL965	2551
CHEMBL667	187
CHEMBL550	5910
CHEMBL14	5831
CHEMBL1201237	39468
CHEMBL1200799	5282226
CHEMBL1051	5311221
CHEMBL278020	4456
CHEMBL1201178	11597697
CHEMBL4594250	66599893
CHEMBL105	5746
CHEMBL2062257	11236066
CHEMBL499	33624
CHEMBL1200963	5311027
CHEMBL1201162	6918132
CHEMBL1200870	5281056
CHEMBL423	2369
CHEMBL647	2216
CHEMBL2364612	11156438
CHEMBL839	2583
CHEMBL1201177	5284409
CHEMBL844	2435
CHEMBL1201262	3105
CHEMBL218490	5284549
CHEMBL1025	5936
CHEMBL1200661	5282175
CHEMBL810	5394
CHEMBL1201583	
CHEMBL513	2578
CHEMBL717	6279
CHEMBL842	2720
CHEMBL1201115	104769
CHEMBL1639	5493444
CHEMBL1668	5280954
CHEMBL673	4688
CHEMBL542541	9351
CHEMBL3544986	12068809
CHEMBL1200534	54889
CHEMBL1168	5362129
CHEMBL1200494	71401
CHEMBL406	3702
CHEMBL1200987	5282474
CHEMBL1051	5311221
CHEMBL707	3157
CHEMBL2103873	16004692
CHEMBL435	3639
CHEMBL1200692	130881
CHEMBL2062257	11236066
CHEMBL1148	41781
CHEMBL1491	2162
CHEMBL1095097	443872
CHEMBL4594288	69165622
CHEMBL267936	4032
CHEMBL768	59768
CHEMBL1697	62920
CHEMBL2356097	62937
CHEMBL3039598	9601226
CHEMBL2097081	
CHEMBL765	3518
CHEMBL1487	60823
CHEMBL588	3341
CHEMBL723	2585
CHEMBL1200561	62978
CHEMBL1069	60846
CHEMBL1237	5362119
CHEMBL2111097	9822750
CHEMBL1201531	
CHEMBL1648	3784
CHEMBL1201731	9933004
CHEMBL945	16231
CHEMBL1684	2315
CHEMBL19236	4810
CHEMBL282724	216235
CHEMBL578	5388962
CHEMBL2103795	23699544
CHEMBL434394	71301
CHEMBL1026	49659
CHEMBL1201011	54891
CHEMBL4594262	44481893
CHEMBL6966	2520
CHEMBL995	11476710
CHEMBL1200326	41114
CHEMBL1398126	68540
CHEMBL1484	4474
CHEMBL24	2249
CHEMBL957	104865
CHEMBL1200659	5388961
CHEMBL730	4510
CHEMBL459	38853
CHEMBL1014	2540
CHEMBL1200813	441307
